t,euler_x,rk4_x
0,1,1
0.1,1,0.995021
0.2,0.99,0.980199
0.3,0.9701,0.955779
0.4,0.940499,0.9221
0.5,0.901493,0.879589
0.6,0.853472,0.828757
0.7,0.796916,0.77019
0.8,0.732392,0.704549
0.9,0.660543,0.632557
1,0.582089,0.554992
1.1,0.497814,0.472682
1.2,0.408561,0.386491
1.3,0.315222,0.297315
1.4,0.218731,0.206071
1.5,0.120052,0.113686
1.6,0.0201736,0.0210898
1.7,-0.0799069,-0.0707946
1.8,-0.179188,-0.161061
1.9,-0.276678,-0.248828
2,-0.371401,-0.333248
2.1,-0.46241,-0.413514
2.2,-0.548794,-0.488871
2.3,-0.629691,-0.558618
2.4,-0.704291,-0.622117
2.5,-0.771848,-0.6788
2.6,-0.831687,-0.72817
2.7,-0.883208,-0.769809
2.8,-0.925898,-0.80338
2.9,-0.959328,-0.828631
3,-0.983166,-0.845392
3.1,-0.997171,-0.853581
3.2,-1.00121,-0.853203
3.3,-0.995227,-0.844346
3.4,-0.979296,-0.827183
3.5,-0.953573,-0.801967
3.6,-0.918314,-0.769029
3.7,-0.873872,-0.728773
3.8,-0.820691,-0.681672
3.9,-0.759303,-0.628263
4,-0.690322,-0.569139
4.1,-0.614438,-0.504945
4.2,-0.532409,-0.43637
4.3,-0.445057,-0.364138
4.4,-0.353254,-0.289006
4.5,-0.257918,-0.211747
4.6,-0.160003,-0.133152
4.7,-0.0604881,-0.0540156
4.8,0.0396316,0.0248706
4.9,0.139355,0.102725
5,0.237685,0.178783
5.1,0.333638,0.252307
5.2,0.426255,0.322591
5.3,0.514609,0.388968
5.4,0.597817,0.450818
5.5,0.675047,0.50757
5.6,0.745526,0.558712
5.7,0.80855,0.60379
5.8,0.863489,0.642417
5.9,0.909793,0.674273
6,0.946999,0.699108
6.1,0.974735,0.716745
6.2,0.992723,0.727082
6.3,1.00078,0.730087
6.4,0.998838,0.725803
6.5,0.986903,0.714347
6.6,0.965099,0.695902
6.7,0.933644,0.670723
6.8,0.892852,0.639125
6.9,0.843132,0.601488
7,0.784981,0.558246
7.1,0.71898,0.509884
7.2,0.645789,0.456934
7.3,0.566141,0.399968
7.4,0.48083,0.339592
7.5,0.390712,0.276441
7.6,0.296686,0.21117
7.7,0.199694,0.144449
7.8,0.100704,0.0769557
7.9,0.000708001,0.00936897
8,-0.0992955,-0.0576384
8.1,-0.198306,-0.123406
8.2,-0.295334,-0.187292
8.3,-0.389408,-0.248681
8.4,-0.479588,-0.306986
8.5,-0.564972,-0.36166
8.6,-0.644707,-0.412193
8.7,-0.717994,-0.458126
8.8,-0.784101,-0.499047
8.9,-0.842368,-0.5346
9,-0.892211,-0.564484
9.1,-0.933131,-0.588459
9.2,-0.964721,-0.606344
9.3,-0.986663,-0.618024
9.4,-0.998738,-0.623443
9.5,-1.00083,-0.62261
9.6,-0.992906,-0.615595
9.7,-0.975057,-0.60253
9.8,-0.947458,-0.583604
9.9,-0.910383,-0.559065
10,-0.864205,-0.529212
10.1,-0.809385,-0.494395
10.2,-0.746471,-0.455008
10.3,-0.676092,-0.41149
10.4,-0.598952,-0.364314
10.5,-0.515823,-0.313986
10.6,-0.427536,-0.261037
10.7,-0.334973,-0.206019
10.8,-0.23906,-0.149501
10.9,-0.140757,-0.0920582
11,-0.0410465,-0.0342722
11.1,0.0590747,0.0232796
11.2,0.158605,0.0800273
11.3,0.256549,0.135415
11.4,0.351928,0.188905
11.5,0.443788,0.239985
11.6,0.53121,0.28817
11.7,0.613319,0.333011
11.8,0.689296,0.374096
11.9,0.758379,0.411052
12,0.819879,0.443554
12.1,0.87318,0.471323
12.2,0.917749,0.494129
12.3,0.95314,0.511796
12.4,0.979001,0.5242
12.5,0.995071,0.531268
12.6,1.00119,0.532984
12.7,0.997298,0.529384
12.8,0.983432,0.520557
12.9,0.959733,0.506643
13,0.926436,0.487829
13.1,0.883874,0.464354
13.2,0.832474,0.436495
13.3,0.772749,0.404574
13.4,0.705297,0.368948
13.5,0.630792,0.330009
13.6,0.549978,0.288176
13.7,0.463665,0.243895
13.8,0.372715,0.197629
13.9,0.278039,0.149859
14,0.180581,0.101074
14.1,0.0813183,0.0517701
14.2,-0.0187579,0.00244191
14.3,-0.118647,-0.0464198
14.4,-0.217349,-0.0943337
14.5,-0.313877,-0.140833
14.6,-0.407267,-0.18547
14.7,-0.496585,-0.227818
14.8,-0.580936,-0.26748
14.9,-0.659478,-0.304089
15,-0.731425,-0.33731
15.1,-0.796058,-0.366846
15.2,-0.852731,-0.392442
15.3,-0.900876,-0.413882
15.4,-0.940012,-0.430993
15.5,-0.969749,-0.443649
15.6,-0.989787,-0.451769
15.7,-0.999928,-0.455316
15.8,-1.00007,-0.454302
15.9,-0.990211,-0.448781
16,-0.970449,-0.438853
16.1,-0.940984,-0.424661
16.2,-0.902108,-0.406388
16.3,-0.854212,-0.384257
16.4,-0.797773,-0.358526
16.5,-0.733356,-0.329486
16.6,-0.661606,-0.29746
16.7,-0.58324,-0.262794
16.8,-0.499042,-0.225862
16.9,-0.409853,-0.187051
17,-0.316565,-0.146767
17.1,-0.220112,-0.105424
17.2,-0.121458,-0.063445
17.3,-0.0215893,-0.0212526
17.4,0.0784954,0.0207312
17.5,0.177795,0.0620911
17.6,0.275317,0.102422
17.7,0.370086,0.141334
17.8,0.461153,0.178453
17.9,0.54761,0.213429
18,0.62859,0.245935
18.1,0.703284,0.275672
18.2,0.770945,0.302373
18.3,0.830897,0.325802
18.4,0.88254,0.345759
18.5,0.925358,0.362079
18.6,0.958922,0.374638
18.7,0.982897,0.383347
18.8,0.997042,0.388158
18.9,1.00122,0.389062
19,0.995381,0.38609
19.1,0.97959,0.379308
19.2,0.954004,0.368823
19.3,0.918877,0.354775
19.4,0.874562,0.33734
19.5,0.821501,0.316725
19.6,0.760225,0.293166
19.7,0.691347,0.266927
19.8,0.615555,0.238295
19.9,0.533608,0.207579
